,title,artist,peakPos,lastPos,weeks,rank,isNew,date,track_uri
63504,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,8,0,1,8,True,2011-07-04,spotify:track:7LcfRTgAVTs5pQGEQgUEzN
63505,The Lazy Song,Bruno Mars,4,9,18,9,False,2011-07-04,spotify:track:1ExfPZEiahqhLyajhybFeS
63506,How To Love,Lil Wayne,10,13,5,10,False,2011-07-04,spotify:track:5W7BcYDIaeXnpG3e39T7hJ
63507,Dirt Road Anthem,Jason Aldean,7,7,12,11,False,2011-07-04,spotify:track:2qYsSHsYkihWx043HVJQRV
63508,The Show Goes On,Lupe Fiasco,9,10,26,12,False,2011-07-04,spotify:track:4NTWZqvfQTlOMitlVn6tew
63509,Tonight Tonight,Hot Chelle Rae,13,20,11,13,False,2011-07-04,spotify:track:2i0AUcEnsDm3dsqLrFWUCq
63510,Just Can't Get Enough,The Black Eyed Peas,3,11,19,14,False,2011-07-04,spotify:track:3irR8u6bJNsyNA6TWlFe0R
63511,Honey Bee,Blake Shelton,13,21,12,15,False,2011-07-04,spotify:track:0gY2iq0xJPRoIB1PScKSw4
63512,On The Floor,Jennifer Lopez Featuring Pitbull,3,12,18,16,False,2011-07-04,spotify:track:0w3Q14i073jLoew1hgJkwD
63513,Don't Wanna Go Home,Jason Derulo,14,14,6,17,False,2011-07-04,spotify:track:6aeuHtH6TOzzpKZP4PxFGV
63514,Good Life,OneRepublic,16,17,13,18,False,2011-07-04,spotify:track:6OtCIsQZ64Vs1EbzztvAv4
63515,Till The World Ends,Britney Spears Featuring Nicki Minaj & Ke$ha,3,15,17,19,False,2011-07-04,spotify:track:38iU2jg98IZZEIJPrP7aWD
63516,I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",10,19,6,20,False,2011-07-04,spotify:track:7EHOorGNbnzDGmJDFVOhcJ
63517,Who Says,Selena Gomez & The Scene,21,22,15,21,False,2011-07-04,spotify:track:3TcL0dyCMyr0kyTTc4NLgI
63518,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,6,18,21,22,False,2011-07-04,spotify:track:3hsmbFKT5Cujb5GQjqEU39
63519,Motivation,Kelly Rowland Featuring Lil Wayne,21,24,11,23,False,2011-07-04,spotify:track:0rIAC4PXANcKmitJfoqmVm
63520,Knee Deep,Zac Brown Band Featuring Jimmy Buffett,24,27,7,24,False,2011-07-04,spotify:track:60IGhnH20N82dNxKnc8jDd
63521,Roll Up,Wiz Khalifa,13,23,20,25,False,2011-07-04,spotify:track:53DB6LJV9B8sz0p1s6tlGS
63597,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,1,1,18,1,False,2011-08-04,spotify:track:0IkKz2J93C94Ei4BvDop7P
63598,Last Friday Night (T.G.I.F.),Katy Perry,2,3,9,2,False,2011-08-04,spotify:track:3avYqdwHKEq8beXbeWCKqJ
63599,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",1,2,17,3,False,2011-08-04,spotify:track:1IJYb2qBTHMoDzHgsuA86H
63600,Super Bass,Nicki Minaj,4,5,13,4,False,2011-08-04,spotify:track:3hlksXnvbKogFdPbpO9vel
63601,Rolling In The Deep,Adele,1,4,29,5,False,2011-08-04,spotify:track:1c8gk2PeTE04A1pIDH9YMk
63602,How To Love,Lil Wayne,6,6,9,6,False,2011-08-04,spotify:track:5W7BcYDIaeXnpG3e39T7hJ
63603,Tonight Tonight,Hot Chelle Rae,7,9,15,7,False,2011-08-04,spotify:track:2i0AUcEnsDm3dsqLrFWUCq
63604,The Edge Of Glory,Lady Gaga,3,7,11,8,False,2011-08-04,spotify:track:5bdE4ddN4lknkXmvegBf2k
63605,Good Life,OneRepublic,8,8,17,9,False,2011-08-04,spotify:track:6OtCIsQZ64Vs1EbzztvAv4
63606,Lighters,Bad Meets Evil Featuring Bruno Mars,10,17,6,10,False,2011-08-04,spotify:track:5zpDHEU12zATwLGvozxPw2
63607,I Wanna Go,Britney Spears,11,13,7,11,False,2011-08-04,spotify:track:5cCAZS9VhLGEDV4NCfieeg
63608,Dirt Road Anthem,Jason Aldean,7,11,16,12,False,2011-08-04,spotify:track:2qYsSHsYkihWx043HVJQRV
63609,I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",10,14,10,13,False,2011-08-04,spotify:track:7EHOorGNbnzDGmJDFVOhcJ
63610,E.T.,Katy Perry Featuring Kanye West,1,12,24,14,False,2011-08-04,spotify:track:26OmI3F6zTMFQfpJf9rLvs
63611,If I Die Young,The Band Perry,15,23,35,15,False,2011-08-04,spotify:track:4u26EevCNXMhlvE1xFBJwX
63612,Don't Wanna Go Home,Jason Derulo,14,18,10,16,False,2011-08-04,spotify:track:6aeuHtH6TOzzpKZP4PxFGV
63613,Motivation,Kelly Rowland Featuring Lil Wayne,17,20,15,17,False,2011-08-04,spotify:track:0rIAC4PXANcKmitJfoqmVm
63614,Knee Deep,Zac Brown Band Featuring Jimmy Buffett,18,22,11,18,False,2011-08-04,spotify:track:60IGhnH20N82dNxKnc8jDd
63615,Best Thing I Never Had,Beyonce,19,25,8,19,False,2011-08-04,spotify:track:3lBRNqXjPp2j3JMTCXDTNO
63616,The Lazy Song,Bruno Mars,4,15,22,20,False,2011-08-04,spotify:track:1ExfPZEiahqhLyajhybFeS
63617,Just Can't Get Enough,The Black Eyed Peas,3,19,23,21,False,2011-08-04,spotify:track:3irR8u6bJNsyNA6TWlFe0R
